State,Under-5 Population
Abia,480072
Adamawa,854670
Akwa Ibom,716958
Anambra,662503
Bauchi,1418104
Bayelsa,316640
Benue,1148961
Borno,1259144
Cross River,495690
Delta,781529
Ebonyi,475163
Edo,618551
Ekiti,414517
Enugu,546177
Federal Capital Territory,731591
Gombe,679776
Imo,687812
Jigawa,1234307
Kaduna,1758642
Kano,2786641
Katsina,1797664
Kebbi,957770
Kogi,863057
Kwara,585211
Lagos,1629525
Nasarawa,523069
Niger,1243378
Ogun,914800
Ondo,650681
Osun,590121
Oyo,1081238
Plateau,791915
Rivers,926753
Sokoto,1141405
Taraba,589945
Yobe,691815
Zamfara,983438
