"zone","state","lga","sector","ea","hhid","plotid","sa1q1aa","sa1q1a","prefilled_gps_area","sa1q1d","sa1q3","sa1q4","sa1q5","sa1q5_os","sa1q6","sa1q7","sa1q7_os","sa1q2","sa1q2b","sa1q2c_1","sa1q2c_2","sa1q2c_3","sa1q2c_4","sa1q2c_5","sa1q2c_6","sa1q8a","sa1q8b","sa1q8c","sa1q8c_os","sa1q9","sa1q10","sa1q10_os","sa1q10_0","sa1q11"
4,1,115,1,670,10002,1,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10003,1,2,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10004,1,2,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,1,115,1,670,10008,1,2,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,0,10009,1,1,1,18811,2,2,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,105,2,0,10009,2,1,1,1953.9,2,2,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,115,1,670,10010,1,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10031,1,1,1,505.89001,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,111,1,1146,10033,1,2,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10034,1,2,2,,2,8,1,,,,,,,,,,,,,,,,,,,,,,
4,1,111,1,1146,10037,1,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10053,1,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
4,1,102,1,1690,10057,1,2,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1044,10061,1,1,1,701.38,2,1,1,,,,,,1,1,2,3,,,,,1,,,,,,,,
4,1,107,2,1044,10061,2,1,1,750.34998,2,1,1,,,,,,1,1,2,3,,,,,1,,,,,,,,
4,1,107,2,1044,10061,3,1,1,681.53003,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,107,2,1044,10061,4,1,2,,2,1,1,,,,,,1,1,2,,,,,,1,,,,2,4,,,
4,1,107,2,1044,10061,5,1,2,,2,1,1,,,,,,1,1,2,3,,,,,1,,,,1,,,,1145.8
4,1,107,2,1044,10061,6,1,1,249.78,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,107,2,1044,10062,1,1,1,965.96997,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10062,2,1,1,550.15997,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10062,3,1,2,,2,1,1,,,,,,1,2,,,,,,,1,,,,1,,,,288.69
4,1,107,2,1044,10063,1,1,1,120.27,1,7,1,,,,,,6,1,7,,,,,,1,,,,1,,,,138.06
4,1,107,2,1044,10063,2,1,1,1634.5,2,7,1,,,,,,6,1,7,,,,,,1,,,,,,,,
4,1,107,2,1044,10063,3,1,1,368.14999,2,7,1,,,,,,6,1,7,,,,,,1,,,,,,,,
4,1,107,2,1044,10064,1,1,1,1088.1,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10064,2,1,1,1300.5,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10064,3,1,1,915.76001,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,102,1,0,10065,1,1,2,,2,2,1,,,,,,2,1,7,,,,,,1,,,,2,4,,,
4,1,102,1,0,10065,2,1,2,,2,2,1,,,,,,2,1,7,,,,,,1,,,,2,4,,,
4,1,107,2,1044,10066,1,1,1,1413.6,2,2,1,,,,,,2,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10066,2,1,1,2950.7,2,2,1,,,,,,2,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10067,1,1,1,2693.3,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,107,2,1044,10067,2,1,1,899.64001,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,107,2,1044,10067,4,1,1,226.19,2,1,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,107,2,1044,10068,1,1,1,2270.1001,2,2,1,,,,,,2,1,4,,,,,,1,,,,,,,,
4,1,107,2,1044,10068,2,1,2,,2,2,1,,,,,,2,1,4,,,,,,1,,,,1,,,,1607.1
4,1,107,2,1044,10069,1,1,1,469.88,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,1044,10069,2,1,1,1245.5,2,1,1,,,,,,1,2,,,,,,,1,,,,,,,,
4,1,107,2,0,10070,1,1,2,,2,2,1,,,,,,2,2,,,,,,,1,,,,2,2,,,
4,1,107,2,0,10070,2,1,1,820.28998,2,2,1,,,,,,2,2,,,,,,,1,,,,,,,,
4,1,107,2,0,10070,3,2,2,,2,2,1,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10071,1,1,1,202.34,2,6,1,,,,,,1,1,2,,,,,,1,,,,,,,,
4,1,117,2,560,10071,2,1,1,497.39999,2,6,1,,,,,,1,1,2,,,,,,1,,,,,,,,
